scaffold	query	start	end	color	target_len
chr1	chr1'	57	202694540	#F8C66F	202694483
chr10	chr10	45251	39065557	#00FFFF	39020306
chr10	chr8	38897802	39063161	#00FF7F	165359
chr10	chr10	39125185	39437822	#00FFFF	312637
chr10	chr8	39327409	39547101	#00FF7F	219692
chr10	chr10	39590734	111960806	#00FFFF	72370072
chr11	chr11	23	104602777	#FA81C8	104602754
chr12	chr13	1	85119374	#04685D	85119373
chr13	chr15'	19808	92498454	#BC052A	92478646
chr14	chr14	30364	90065694	#3600AC	90035330
chr15	chr12	1	59551624	#7FBF7F	59551623
chr16	chr16	109	67763370	#FF7F00	67763261
chr17	chr17'	24433	57606852	#007FFF	57582419
chr18	chr18	25337	39137524	#FF00FF	39112187
chr2	chr2'	74118	216441385	#FC307A	216367267
chr3	chr3'	20248	195004429	#7FFF00	194984181
chr4	chr4'	626	190983150	#8F5B6C	190982524
chr5	chr5	27678	102157204	#88E1FE	102129526
chr5	chr6'	89485187	89544742	#9143FA	59555
chr5	chr7	89487710	89557755	#FFFF00	70045
chr5	chr6'	89583374	89645006	#9143FA	61632
chr5	chr5	102224345	154365279	#88E1FE	52140934
chr6	chr6'	28655	147789116	#9143FA	147760461
chr7	chr9'	251814	117215143	#4FA101	116963329
chr7	chr19'	117232409	144064294	#643D02	26831885
chr8	chr8	48304	138176428	#00FF7F	138128124
chr9	chr7	0	139582537	#FFFF00	139582537
chrX	chrX	0	123547600	#00FF00	123547600
