CHROM	WINDOW	mustela_putorius.10x.barcoded
chr1	0	1028
chr1	1	1026
chr1	2	851
chr1	3	864
chr1	4	730
chr1	5	715
chr1	6	724
chr1	7	649
chr1	8	670
chr1	9	664
chr1	10	787
chr1	11	874
chr1	12	861
chr1	13	677
chr1	14	848
chr1	15	993
chr1	16	998
chr1	17	1277
chr1	18	1117
chr1	19	1124
chr1	20	1006
chr1	21	918
chr1	22	923
chr1	23	982
chr1	24	808
chr1	25	682
chr1	26	678
chr1	27	382
chr1	28	375
chr1	29	369
chr1	30	368
chr1	31	345
chr1	32	361
chr1	33	220
chr1	34	235
chr1	35	226
chr1	36	227
chr1	37	227
chr1	38	233
chr1	39	423
chr1	40	409
chr1	41	633
chr1	42	612
chr1	43	612
chr1	44	611
chr1	45	614
chr1	46	604
chr1	47	615
chr1	48	629
chr1	49	455
chr1	50	448
chr1	51	234
chr1	52	236
chr1	53	230
chr1	54	214
chr1	55	211
chr1	56	206
chr1	57	191
chr1	58	173
chr1	59	165
chr1	60	303
chr1	61	298
chr1	62	281
chr1	63	282
chr1	64	279
chr1	65	276
chr1	66	287
chr1	67	309
chr1	68	307
chr1	69	307
chr1	70	188
chr1	71	200
chr1	72	215
chr1	73	225
chr1	74	241
chr1	75	251
chr1	76	257
chr1	77	238
chr1	78	246
chr1	79	282
chr1	80	285
chr1	81	276
chr1	82	318
chr1	83	338
chr1	84	349
chr1	85	451
chr1	86	438
chr1	87	421
chr1	88	403
chr1	89	341
chr1	90	348
chr1	91	353
chr1	92	296
chr1	93	261
chr1	94	232
chr1	95	126
chr1	96	113
chr1	97	114
chr1	98	130
chr1	99	140
chr1	100	118
chr1	101	107
chr1	102	103
chr1	103	105
chr1	104	128
chr1	105	142
chr1	106	171
chr1	107	194
chr1	108	259
chr1	109	302
chr1	110	304
chr1	111	312
chr1	112	345
chr1	113	361
chr1	114	455
chr1	115	445
chr1	116	439
chr1	117	425
chr1	118	353
chr1	119	322
chr1	120	348
chr1	121	376
chr1	122	491
chr1	123	491
chr1	124	396
chr1	125	411
chr1	126	638
chr1	127	678
chr1	128	958
chr1	129	1315
chr1	130	1638
chr1	131	1886
chr1	132	1779
chr1	133	1812
