scaffold	start	end	query	query_start	query_end	strand	color
chr1	104518	4687461	chr1	187054	4672313	+	#F8C66F
chr1	4739884	32682609	chr1	4722311	32709574	+	#F8C66F
chr1	32793725	59833430	chr1	32709574	60036431	+	#F8C66F
chr1	59836594	60013782	chr1	60036431	60214369	-	#F8C66F
chr1	60017695	60251561	chr1	60216528	60449268	-	#F8C66F
chr1	60253888	106495799	chr1	60449278	106921494	+	#F8C66F
chr1	106546972	173055957	chr1	107028496	173681552	+	#F8C66F
chr1	173055957	173111646	chr1	173716706	173779204	-	#F8C66F
chr1	173107500	185325061	chr1	173779204	186054762	+	#F8C66F
chr1	185325079	185541564	chr1	186055278	186265937	-	#F8C66F
chr1	185541774	186224011	chr1	186266449	186948126	+	#F8C66F
chr1	186424050	187756550	chr1	186954644	188295630	+	#F8C66F
chr1	187756559	188137435	chr1	188296182	188677079	-	#F8C66F
chr1	188137433	188198379	chr1	188677079	188738667	+	#F8C66F
chr1	188209249	188282272	chr1	188757168	188830265	-	#F8C66F
chr1	188307319	188567791	chr1	189134365	189385830	-	#F8C66F
chr1	188567984	188672451	chr1	188830868	188935994	+	#F8C66F
chr1	188723095	188851896	chr1	188942683	189063112	+	#F8C66F
chr1	188881787	190656607	chr1	189386715	191155733	+	#F8C66F
chr1	190783054	192822776	chr1	191156284	193190003	+	#F8C66F
chr1	192823185	201432642	chr1	193334062	201892531	+	#F8C66F
chr1	201432642	201494502	chr1	201892538	201951162	-	#F8C66F
chr1	201494509	202694569	chr1	201951162	203160773	+	#F8C66F
chr10	4255	19318644	chr10'	0	19337152	+	#00FFFF
chr10	19243290	19383367	chr10'	19342167	19451174	+	#00FFFF
chr10	19339983	29958806	chr10'	19467176	30064307	+	#00FFFF
chr10	30047059	57344006	chr10'	30064307	57454170	+	#00FFFF
chr10	57424469	57638541	chr10'	57502645	57709907	+	#00FFFF
chr10	57643084	57751256	chr10'	57710479	57829672	-	#00FFFF
chr10	57751281	58154207	chr10'	57854776	58290449	+	#00FFFF
chr10	58230022	58857937	chr10'	58297290	58891360	+	#00FFFF
chr10	58917965	60330334	chr10'	58915174	60267534	+	#00FFFF
chr10	60371104	60593991	chr10'	60384326	60615537	+	#00FFFF
chr10	60644792	95868962	chr10'	60702480	95994389	+	#00FFFF
chr10	96033929	96284101	chr10'	96079983	96325068	+	#00FFFF
chr10	96345794	97032401	chr10'	96365226	97033637	+	#00FFFF
chr10	97003222	97094190	chr10'	97092237	97155848	+	#00FFFF
chr10	97052672	97394780	chr10'	97164589	97448398	+	#00FFFF
chr10	97398702	97493196	chr10'	97665167	97784021	-	#00FFFF
chr10	97518635	97803023	chr10'	97866348	98139165	+	#00FFFF
chr10	97852075	98066962	chr10'	98139775	98357728	-	#00FFFF
chr10	98072313	98481383	chr10'	98384483	98869319	+	#00FFFF
chr10	98693353	100205657	chr10'	98902775	100402258	+	#00FFFF
chr10	100275044	111960806	chr10'	100417290	111942609	+	#00FFFF
chr11	3101	1679228	chr11'	46	1610216	+	#FA81C8
chr11	1770990	35620473	chr11'	1668212	35503583	+	#FA81C8
chr11	35620473	35674606	chr11'	35542230	35605607	-	#FA81C8
chr11	35674606	104602777	chr11'	35605632	104510554	+	#FA81C8
chr11	104821693	104895691	chr9	42509515	42561299	+	#FFFF00
chr12	1	6485927	chr12'	1	6485846	-	#04685D
chr12	6486618	44559564	chr12'	6605384	44644353	+	#04685D
chr12	44639711	46409936	chr12'	44644795	46500066	+	#04685D
chr12	46372596	52530946	chr12'	46501205	52683346	+	#04685D
chr12	52595972	85116190	chr12'	52786051	85133116	+	#04685D
chr13	239	1013687	chr13	122	932340	+	#BC052A
chr13	1124978	2768986	chr13	932340	2542797	+	#BC052A
chr13	2923496	65876903	chr13	2542798	65510642	+	#BC052A
chr13	65830230	66666652	chr13	65548639	66456119	+	#BC052A
chr13	66955392	67103940	chr13	66645574	66808207	+	#BC052A
chr13	67168371	67320355	chr13	67091633	67189642	+	#BC052A
chr13	67325276	67700976	chr13	67265060	67584942	+	#BC052A
chr13	67753017	67907217	chr13	67584944	67730722	+	#BC052A
chr13	68209528	68260453	chr13	67794905	67847122	-	#BC052A
chr13	68260821	89215525	chr13	67891512	88929808	+	#BC052A
chr13	89430300	91323701	chr13	88995695	90888575	+	#BC052A
chr13	91331165	92507274	chr13	91107302	92231050	+	#BC052A
chr14	27940	3565510	chr14'	138	3320943	+	#3600AC
chr14	3615632	12483709	chr14'	3371809	12245658	+	#3600AC
chr14	12517612	27073918	chr14'	12210079	26898420	+	#3600AC
chr14	27074083	36000323	chr14'	26955998	35943603	+	#3600AC
chr14	36031657	60989067	chr14'	36007338	60916434	+	#3600AC
chr14	60989067	61876795	chr14'	60994230	61950199	+	#3600AC
chr14	61886937	61953058	chr14'	61950199	62011072	-	#3600AC
chr14	61963192	63979154	chr14'	62011072	64038091	+	#3600AC
chr14	63977549	64089246	chr14'	64088484	64170518	-	#3600AC
chr14	64196019	68031786	chr14'	64165889	67985631	+	#3600AC
chr14	68103516	68282126	chr14'	68276363	68481344	-	#3600AC
chr14	68455422	68551419	chr14'	68118553	68212677	+	#3600AC
chr14	68585182	70143917	chr14'	68511646	70092279	+	#3600AC
chr14	70239034	90040268	chr14'	70183431	89884182	+	#3600AC
chr14	87283426	87345623	chr14'	87202654	87255217	-	#3600AC
chr14	89932792	89986317	chr9	42373474	42442527	-	#FFFF00
chr15	234	4043689	chr15	22809	3923571	+	#7FBF7F
chr15	4043689	8768191	chr15	7596524	12359108	-	#7FBF7F
chr15	8868719	12037867	chr15	4271212	7454396	-	#7FBF7F
chr15	12038405	12319846	chr15	3963786	4244457	+	#7FBF7F
chr15	12336966	13104308	chr15	12359739	13105355	+	#7FBF7F
chr15	12956898	13039136	chr15	13412830	13475536	+	#7FBF7F
chr15	13228142	53011703	chr15	13108625	52914592	+	#7FBF7F
chr15	13480659	13559836	chr15	12955204	13042617	+	#7FBF7F
chr15	53011718	59551624	chr15	52993667	59378870	+	#7FBF7F
chr15	59622209	59722580	chr15	59389005	59487806	-	#7FBF7F
chr16	70	30912367	chr16'	0	30749571	+	#FF7F00
chr16	30906140	31155836	chr16'	30761721	30990210	-	#FF7F00
chr16	31156149	34381155	chr16'	30994096	34226395	+	#FF7F00
chr16	34456408	43863425	chr16'	34261934	43636561	+	#FF7F00
chr16	44017768	65080223	chr16'	43818860	64926485	+	#FF7F00
chr16	65117965	67766256	chr16'	64998428	67541439	+	#FF7F00
chr17	86	2871076	chr17'	2604	2766426	+	#007FFF
chr17	2939162	3101988	chr17'	2826796	2982903	+	#007FFF
chr17	3195980	3706766	chr17'	3016881	3592023	+	#007FFF
chr17	3769504	3839739	chr17'	3566991	3674396	+	#007FFF
chr17	3871554	4195070	chr17'	3951689	4210122	+	#007FFF
chr17	4287403	4668704	chr17'	4219432	4597597	+	#007FFF
chr17	4762193	10824720	chr17'	4597597	10642861	+	#007FFF
chr17	10824191	11407800	chr17'	10692545	11269670	+	#007FFF
chr17	11407800	20236804	chr17'	11339670	20200962	+	#007FFF
chr17	20236161	20293596	chr17'	20304461	20386305	-	#007FFF
chr17	20242192	20293596	chr17'	20230469	20283139	-	#007FFF
chr17	20383124	20445095	chr17'	20463644	20531304	+	#007FFF
chr17	20445105	20555451	chr17'	20526879	20638252	-	#007FFF
chr17	20552316	56236532	chr17'	20638252	56302120	+	#007FFF
chr17	45015262	45083409	chr17'	45150967	45204722	-	#007FFF
chr17	56287135	57599241	chr17'	56350352	57615380	+	#007FFF
chr18	2961	9106135	chr18	54	9089828	+	#FF00FF
chr18	9160422	9296134	chr18	9111730	9256097	+	#FF00FF
chr18	9370905	15861299	chr18	9260262	15736526	+	#FF00FF
chr18	15982412	16041177	chr13	41663798	41724145	+	#BC052A
chr18	16052763	18387925	chr18	15802080	18220716	+	#FF00FF
chr18	18388420	22788484	chr18	18302577	22772238	+	#FF00FF
chr18	22808169	22978793	chr18	22788917	22956737	-	#FF00FF
chr18	22992121	23944175	chr18	23015655	23972842	+	#FF00FF
chr18	23944824	36802954	chr18	24197064	36965045	+	#FF00FF
chr18	36802970	39137524	chr18	37064328	39269184	+	#FF00FF
chr18	39137524	39190701	chr18	39397254	39451049	+	#FF00FF
chr2	2	40937723	chr2'	2611	40946917	+	#FC307A
chr2	41000961	45689021	chr2'	40946917	45621332	+	#FC307A
chr2	45647875	45780634	chr2'	45546676	45673913	-	#FC307A
chr2	45689149	58636854	chr2'	45801239	58802650	+	#FC307A
chr2	58588152	65995209	chr2'	58802650	66181996	+	#FC307A
