strand	qName	qStart	qEnd	tName	tStart	tEnd	tHitLen	qHitLen	synteny_block_id	type	connector_color	connector_zorder
+	chr1	187054	4672313	chr1	104518	4687461	4582943	4485259	SB_184	normal	default	0
+	chr1	4722311	32709574	chr1	4739884	32682609	27942725	27987263	SB_185	normal	default	0
+	chr1	32709574	60036431	chr1	32793725	59833430	27039705	27326857	SB_186	normal	default	0
-	chr1	60036431	60214369	chr1	59836594	60013782	177188	177938	SB_187	inversion	default	0
-	chr1	60216528	60449268	chr1	60017695	60251561	233866	232740	SB_188	inversion	default	0
+	chr1	60449278	106921494	chr1	60253888	106495799	46241911	46472216	SB_189	normal	default	0
+	chr1	107028496	173681552	chr1	106546972	173055957	66508985	66653056	SB_190	normal	default	0
-	chr1	173716706	173779204	chr1	173055957	173111646	55689	62498	SB_191	inversion	default	0
+	chr1	173779204	186054762	chr1	173107500	185325061	12217561	12275558	SB_192	normal	default	0
-	chr1	186055278	186265937	chr1	185325079	185541564	216485	210659	SB_193	inversion	default	0
+	chr1	186266449	186948126	chr1	185541774	186224011	682237	681677	SB_194	normal	default	0
+	chr1	186954644	188295630	chr1	186424050	187756550	1332500	1340986	SB_195	normal	default	0
-	chr1	188296182	188677079	chr1	187756559	188137435	380876	380897	SB_196	inversion	default	0
+	chr1	188677079	188738667	chr1	188137433	188198379	60946	61588	SB_197	normal	default	0
-	chr1	188757168	188830265	chr1	188209249	188282272	73023	73097	SB_198	inversion	default	0
+	chr1	188830868	188935994	chr1	188567984	188672451	104467	105126	SB_199	normal	default	0
+	chr1	188942683	189063112	chr1	188723095	188851896	128801	120429	SB_200	normal	default	0
-	chr1	189134365	189385830	chr1	188307319	188567791	260472	251465	SB_201	inversion	default	0
+	chr1	189386715	191155733	chr1	188881787	190656607	1774820	1769018	SB_202	normal	default	0
+	chr1	191156284	193190003	chr1	190783054	192822776	2039722	2033719	SB_203	normal	default	0
+	chr1	193334062	201892531	chr1	192823185	201432642	8609457	8558469	SB_204	normal	default	0
-	chr1	201892538	201951162	chr1	201432642	201494502	61860	58624	SB_205	inversion	default	0
+	chr1	201951162	203160773	chr1	201494509	202694569	1200060	1209611	SB_206	normal	default	0
+	chr10'	0	19337152	chr10	4255	19318644	19314389	19337152	SB_48	normal	default	0
+	chr10'	19342167	19451174	chr10	19243290	19383367	140077	109007	SB_47	normal	default	0
+	chr10'	19467176	30064307	chr10	19339983	29958806	10618823	10597131	SB_46	normal	default	0
+	chr10'	30064307	57454170	chr10	30047059	57344006	27296947	27389863	SB_45	normal	default	0
+	chr10'	57502645	57709907	chr10	57424469	57638541	214072	207262	SB_44	normal	default	0
-	chr10'	57710479	57829672	chr10	57643084	57751256	108172	119193	SB_43	inversion	default	0
+	chr10'	57854776	58290449	chr10	57751281	58154207	402926	435673	SB_42	normal	default	0
+	chr10'	58297290	58891360	chr10	58230022	58857937	627915	594070	SB_41	normal	default	0
+	chr10'	58915174	60267534	chr10	58917965	60330334	1412369	1352360	SB_40	normal	default	0
+	chr10'	60384326	60615537	chr10	60371104	60593991	222887	231211	SB_39	normal	default	0
+	chr10'	60702480	95994389	chr10	60644792	95868962	35224170	35291909	SB_38	normal	default	0
+	chr10'	96079983	96325068	chr10	96033929	96284101	250172	245085	SB_37	normal	default	0
+	chr10'	96365226	97033637	chr10	96345794	97032401	686607	668411	SB_36	normal	default	0
+	chr10'	97092237	97155848	chr10	97003222	97094190	90968	63611	SB_35	normal	default	0
+	chr10'	97164589	97448398	chr10	97052672	97394780	342108	283809	SB_34	normal	default	0
-	chr10'	97665167	97784021	chr10	97398702	97493196	94494	118854	SB_33	inversion	default	0
+	chr10'	97866348	98139165	chr10	97518635	97803023	284388	272817	SB_32	normal	default	0
-	chr10'	98139775	98357728	chr10	97852075	98066962	214887	217953	SB_31	inversion	default	0
+	chr10'	98384483	98869319	chr10	98072313	98481383	409070	484836	SB_30	normal	default	0
+	chr10'	98902775	100402258	chr10	98693353	100205657	1512304	1499483	SB_29	normal	default	0
+	chr10'	100417290	111942609	chr10	100275044	111960806	11685762	11525319	SB_28	normal	default	0
+	chr11'	46	1610216	chr11	3101	1679228	1676127	1610170	SB_52	normal	default	0
+	chr11'	1668212	35503583	chr11	1770990	35620473	33849483	33835371	SB_51	normal	default	0
-	chr11'	35542230	35605607	chr11	35620473	35674606	54133	63377	SB_50	inversion	default	0
+	chr11'	35605632	104510554	chr11	35674606	104602777	68928171	68904922	SB_49	normal	default	0
-	chr12'	1	6485846	chr12	1	6485927	6485926	6485845	SB_86	inversion	red	20
+	chr12'	6605384	44644353	chr12	6486618	44559564	38072946	38038969	SB_85	normal	default	0
+	chr12'	44644795	46500066	chr12	44639711	46409936	1770225	1855271	SB_84	normal	default	0
+	chr12'	46501205	52683346	chr12	46372596	52530946	6158350	6182141	SB_83	normal	default	0
+	chr12'	52786051	85133116	chr12	52595972	85116190	32520218	32347065	SB_82	normal	default	0
+	chr13	122	932340	chr13	239	1013687	1013448	932218	SB_53	normal	default	0
+	chr13	932340	2542797	chr13	1124978	2768986	1644008	1610457	SB_54	normal	default	0
+	chr13	2542798	65510642	chr13	2923496	65876903	62953407	62967844	SB_55	normal	default	0
+	chr13	41663798	41724145	chr18	15982412	16041177	58765	60347	SB_56	translocation	default	0
+	chr13	65548639	66456119	chr13	65830230	66666652	836422	907480	SB_57	normal	default	0
+	chr13	66645574	66808207	chr13	66955392	67103940	148548	162633	SB_58	normal	default	0
+	chr13	67091633	67189642	chr13	67168371	67320355	151984	98009	SB_59	normal	default	0
+	chr13	67265060	67584942	chr13	67325276	67700976	375700	319882	SB_60	normal	default	0
+	chr13	67584944	67730722	chr13	67753017	67907217	154200	145778	SB_61	normal	default	0
-	chr13	67794905	67847122	chr13	68209528	68260453	50925	52217	SB_62	inversion	default	0
+	chr13	67891512	88929808	chr13	68260821	89215525	20954704	21038296	SB_63	normal	default	0
+	chr13	88995695	90888575	chr13	89430300	91323701	1893401	1892880	SB_64	normal	default	0
+	chr13	91107302	92231050	chr13	91331165	92507274	1176109	1123748	SB_65	normal	default	0
+	chr14'	138	3320943	chr14	27940	3565510	3537570	3320805	SB_81	normal	default	0
+	chr14'	3371809	12245658	chr14	3615632	12483709	8868077	8873849	SB_80	normal	default	0
+	chr14'	12210079	26898420	chr14	12517612	27073918	14556306	14688341	SB_79	normal	default	0
+	chr14'	26955998	35943603	chr14	27074083	36000323	8926240	8987605	SB_78	normal	default	0
+	chr14'	36007338	60916434	chr14	36031657	60989067	24957410	24909096	SB_77	normal	default	0
