scaffold	query	start	end	color	target_len
chr1	chr1'	107449	202683282	#F8C66F	202575833
chr10	chr10'	2660	111960806	#00FFFF	111958146
chr11	chr11'	170	104589238	#FA81C8	104589068
chr12	chr12'	1	85117956	#04685D	85117955
chr13	chr13'	19445	92490415	#BC052A	92470970
chr14	chr14	28185	90021302	#3600AC	89993117
chr15	chr15	0	59722580	#7FBF7F	59722580
chr16	chr16'	0	67763351	#FF7F00	67763351
chr17	chr17	86	57606852	#007FFF	57606766
chr18	chr18'	6858	39190701	#FF00FF	39183843
chr2	chr2'	2	216441385	#FC307A	216441383
chr3	chr3'	12221	195015583	#7FFF00	195003362
chr4	chr4'	0	190998044	#8F5B6C	190998044
chr5	chr5'	33525	154442010	#88E1FE	154408485
chr6	chr6'	46373	147784891	#9143FA	147738518
chr7	chr7'	251814	144086785	#4FA101	143834971
chr8	chr8'	3847	138178244	#00FF7F	138174397
chr9	chr9'	0	139302765	#FFFF00	139302765
chrX	chrX'	0	123546035	#00FF00	123546035
