scaffold	start	end	query	query_start	query_end	strand	color
chr1	104518	4687461	chr1	187054	4672313	+	#7F00FF
chr1	4739884	32682609	chr1	4722311	32709574	+	#7F00FF
chr1	32793725	59833430	chr1	32709574	60036431	+	#7F00FF
chr1	59836594	60013782	chr1	60036431	60214369	-	#7F00FF
chr1	60017695	60251561	chr1	60216528	60449268	-	#7F00FF
chr1	60253888	106495799	chr1	60449278	106921494	+	#7F00FF
chr1	106546972	173055957	chr1	107028496	173681552	+	#7F00FF
chr1	173055957	173111646	chr1	173716706	173779204	-	#7F00FF
chr1	173107500	185325061	chr1	173779204	186054762	+	#7F00FF
chr1	185325079	185541564	chr1	186055278	186265937	-	#7F00FF
chr1	185541774	186224011	chr1	186266449	186948126	+	#7F00FF
chr1	186424050	187756550	chr1	186954644	188295630	+	#7F00FF
chr1	187756559	188137435	chr1	188296182	188677079	-	#7F00FF
chr1	188137433	188198379	chr1	188677079	188738667	+	#7F00FF
chr1	188209249	188282272	chr1	188757168	188830265	-	#7F00FF
chr1	188307319	188567791	chr1	189134365	189385830	-	#7F00FF
chr1	188567984	188672451	chr1	188830868	188935994	+	#7F00FF
chr1	188723095	188851896	chr1	188942683	189063112	+	#7F00FF
chr1	188881787	190656607	chr1	189386715	191155733	+	#7F00FF
chr1	190783054	192822776	chr1	191156284	193190003	+	#7F00FF
chr1	192823185	201432642	chr1	193334062	201892531	+	#7F00FF
chr1	201432642	201494502	chr1	201892538	201951162	-	#7F00FF
chr1	201494509	202694569	chr1	201951162	203160773	+	#7F00FF
chr10	4255	19318644	chr10	92614179	111951331	-	#E70018
chr10	19243290	19383367	chr10	92500157	92609164	-	#E70018
chr10	19339983	29958806	chr10	81887024	92484155	-	#E70018
chr10	30047059	57344006	chr10	54497161	81887024	-	#E70018
chr10	57424469	57638541	chr10	54241424	54448686	-	#E70018
chr10	57643084	57751256	chr10	54121659	54240852	+	#E70018
chr10	57751281	58154207	chr10	53660882	54096555	-	#E70018
chr10	58230022	58857937	chr10	53059971	53654041	-	#E70018
chr10	58917965	60330334	chr10	51683797	53036157	-	#E70018
chr10	60371104	60593991	chr10	51335794	51567005	-	#E70018
chr10	60644792	95868962	chr10	15956942	51248851	-	#E70018
chr10	96033929	96284101	chr10	15626263	15871348	-	#E70018
chr10	96345794	97032401	chr10	14917694	15586105	-	#E70018
chr10	97003222	97094190	chr10	14795483	14859094	-	#E70018
chr10	97052672	97394780	chr10	14502933	14786742	-	#E70018
chr10	97398702	97493196	chr10	14167310	14286164	+	#E70018
chr10	97518635	97803023	chr10	13812166	14084983	-	#E70018
chr10	97852075	98066962	chr10	13593603	13811556	+	#E70018
chr10	98072313	98481383	chr10	13082012	13566848	-	#E70018
chr10	98693353	100205657	chr10	11549073	13048556	-	#E70018
chr10	100275044	111960806	chr10	8722	11534041	-	#E70018
chr11	3101	1679228	chr11	103378535	104988705	-	#2F8201
chr11	1770990	35620473	chr11	69485168	103320539	-	#2F8201
chr11	35620473	35674606	chr11	69383144	69446521	+	#2F8201
chr11	35674606	104602777	chr11	478197	69383119	-	#2F8201
chr11	104821693	104895691	chr9	42509515	42561299	+	#0000FF
chr12	1	6485927	chr12	78647270	85133115	+	#E6FE0F
chr12	6486618	44559564	chr12	40488763	78527732	-	#E6FE0F
chr12	44639711	46409936	chr12	38633050	40488321	-	#E6FE0F
chr12	46372596	52530946	chr12	32449770	38631911	-	#E6FE0F
chr12	52595972	85116190	chr12	0	32347065	-	#E6FE0F
chr13	239	1013687	chr13	122	932340	+	#DD7CE6
chr13	1124978	2768986	chr13	932340	2542797	+	#DD7CE6
