scaffold	start	end	query	query_start	query_end	strand	color
chr1	57	202683282	chr1	6	202256348	-	#7F00FF
chr10	2660	111960806	chr10	8798	111181550	-	#E70018
chr11	170	90699036	chr11	13758920	104468085	-	#2F8201
chr11	90894097	102376075	chr11	2079555	13548101	+	#2F8201
chr11	102376081	104589238	chr11	21	2079515	-	#2F8201
chr12	1	85117956	chr12	90	85080154	-	#E6FE0F
chr13	19445	92490415	chr13	0	92415531	-	#DD7CE6
chr14	28185	90021302	chr14	0	89806965	+	#752587
chr14	1152862	2604484	chr12	1067791	2759020	-	#E6FE0F
chr14	2091682	3614517	chr10	704642	1823757	-	#E70018
chr14	2605088	3610641	chr7	140501995	141684849	+	#00FF7F
chr15	0	4043689	chr15	18022	3948313	+	#7FBF7F
chr15	4043689	12037500	chr15	4250722	12185599	-	#7FBF7F
chr15	12337198	59551624	chr15	12185601	59159440	+	#7FBF7F
chr16	0	67763351	chr16	2309	67353525	-	#FF7F00
chr17	86	57606852	chr17	45577	57475919	+	#007FFF
chr18	6858	39219538	chr18	8023	39344853	-	#FF00FF
chr2	2	216441385	chr2	63	216770332	-	#77D7F8
chr2	1575079	3094519	chr10	715208	1780268	-	#E70018
chr2	3620995	4761182	chr18	1471963	2734414	-	#FF00FF
chr3	12221	195015583	chr3	1499	194718364	-	#F5C084
chr4	0	190998044	chr4	0	189779211	-	#9C4C18
chr5	33525	154442010	chr5	6	153785923	-	#F6378A
chr5	1697140	2826139	chr5	151245100	152765553	+	#F6378A
chr6	46373	147784891	chr6	293	147683202	-	#007F7F
chr7	1	144086785	chr7	105	143394594	-	#00FF7F
chr7	1142292	2792012	chr18	70751	1477044	+	#FF00FF
chr8	3847	138178244	chr8	0	137878590	-	#00FFFF
chr9	0	139562629	chr9	1	138947720	-	#0000FF
chrX	0	123546035	chrX	0	124414473	-	#00FF00
