strand	qName	qStart	qEnd	tName	tStart	tEnd	tHitLen	qHitLen	synteny_block_id	type	connector_color	connector_zorder
-	HiC_scaffold_1	3	55917	HiC_scaffold_1	216373375	216428896	55521	55914	SB_1	normal	default	0
-	HiC_scaffold_1	55917	6504773	HiC_scaffold_1	209754889	216269190	6514301	6448856	SB_2	normal	default	0
-	HiC_scaffold_1	6559830	10053994	HiC_scaffold_1	206188379	209695442	3507063	3494164	SB_3	normal	default	0
-	HiC_scaffold_1	10196980	10304891	HiC_scaffold_1	206066651	206175401	108750	107911	SB_4	normal	default	0
-	HiC_scaffold_1	10400358	10550716	HiC_scaffold_1	205803240	205955533	152293	150358	SB_5	normal	default	0
-	HiC_scaffold_1	10664080	10751917	HiC_scaffold_1	205693579	205776726	83147	87837	SB_6	normal	default	0
-	HiC_scaffold_1	10806939	11165990	HiC_scaffold_1	205227883	205634128	406245	359051	SB_7	normal	default	0
-	HiC_scaffold_1	11118085	11239219	HiC_scaffold_1	205053341	205206651	153310	121134	SB_8	normal	default	0
-	HiC_scaffold_1	11441292	12190843	HiC_scaffold_1	204207883	204956369	748486	749551	SB_9	normal	default	0
-	HiC_scaffold_1	12191035	19719640	HiC_scaffold_1	196560638	204120051	7559413	7528605	SB_10	normal	default	0
+	HiC_scaffold_1	19731323	19788704	HiC_scaffold_1	196506565	196560638	54073	57381	SB_11	inversion	default	0
-	HiC_scaffold_1	19820064	48113218	HiC_scaffold_1	168355388	196501377	28145989	28293154	SB_12	normal	default	0
+	HiC_scaffold_1	48106091	48183638	HiC_scaffold_1	168279121	168355388	76267	77547	SB_13	inversion	default	0
-	HiC_scaffold_1	48200050	55203908	HiC_scaffold_1	161251537	168254076	7002539	7003858	SB_14	normal	default	0
-	HiC_scaffold_1	55239101	59433359	HiC_scaffold_1	156900762	161121472	4220710	4194258	SB_15	normal	default	0
-	HiC_scaffold_1	59513647	68889252	HiC_scaffold_1	147535720	156900642	9364922	9375605	SB_16	normal	default	0
+	HiC_scaffold_1	68889252	69096746	HiC_scaffold_1	147314849	147535833	220984	207494	SB_17	inversion	default	0
-	HiC_scaffold_1	69095038	117895391	HiC_scaffold_1	98712847	147316431	48603584	48800353	SB_18	normal	default	0
+	HiC_scaffold_1	117896151	117964686	HiC_scaffold_1	98653286	98712847	59561	68535	SB_19	inversion	default	0
-	HiC_scaffold_1	118004756	133585210	HiC_scaffold_1	83095554	98653286	15557732	15580454	SB_20	normal	default	0
-	HiC_scaffold_1	133633654	133857306	HiC_scaffold_1	82791912	83033786	241874	223652	SB_21	normal	default	0
-	HiC_scaffold_1	133875558	150564215	HiC_scaffold_1	65995209	82638989	16643780	16688657	SB_22	normal	default	0
-	HiC_scaffold_1	150671611	158050957	HiC_scaffold_1	58588152	65995209	7407057	7379346	SB_23	normal	default	0
-	HiC_scaffold_1	158050957	171052368	HiC_scaffold_1	45689149	58636854	12947705	13001411	SB_24	normal	default	0
+	HiC_scaffold_1	171179694	171306931	HiC_scaffold_1	45647875	45780634	132759	127237	SB_25	inversion	default	0
