scaffold	query	start	end	query_start	query_end	strand	color	length_column	target_len	query_len	dist_upstream	dist_downstream	dist_end_start	dist_end_end	embedded
chr1	chr1'	107449	169819	171390	240244	+	#F8C66F	202286568	62370	68854		110565			
chr1	chr1'	280384	59833430	251182	59661868	+	#F8C66F	202286568	59553046	59410686	110565	3164	110565	59663611	False
chr1	chr1'	59836594	60013782	59661868	59837727	-	#F8C66F	202286568	177188	175859	3164	3913	3164	180352	False
chr1	chr1'	60017695	60251561	59839877	60074518	-	#F8C66F	202286568	233866	234641	3913	2327	3913	237779	False
chr1	chr1'	60253888	106495799	60074528	106429086	+	#F8C66F	202286568	46241911	46354558	2327	51173	2327	46244238	False
chr1	chr1'	106546972	190617251	106534515	190265651	+	#F8C66F	202286568	84070279	83731136	51173	166679	51173	84121452	False
chr1	chr1'	190783930	192823180	190265651	192295508	+	#F8C66F	202286568	2039250	2029857	166679	5	166679	2205929	False
chr1	chr1'	192823185	201432642	192441333	201044173	+	#F8C66F	202286568	8609457	8602840	5	0	5	8609462	False
chr1	chr1'	201432642	201493807	201044173	201102193	-	#F8C66F	202286568	61165	58020	0	702	0	61165	False
chr1	chr1'	201494509	202683282	201102193	202286562	+	#F8C66F	202286568	1188773	1184369	702		702	1189475	False
chr10	chr10'	2660	19322888	34	19227291	+	#00FFFF	111181584	19320228	19227257		-51197			
chr10	chr10'	19271691	19353641	19232036	19303701	+	#00FFFF	111181584	81950	71665	-51197	52496	-51197	30753	False
chr10	chr10'	19406137	29963800	19303701	29895509	+	#00FFFF	111181584	10557663	10591808	52496	83254	52496	10610159	False
chr10	chr10'	30047054	32914424	29895513	32720868	+	#00FFFF	111181584	2867370	2825355	83254	-49282	83254	2950624	False
chr10	chr10'	32865142	57331954	32720868	57104144	+	#00FFFF	111181584	24466812	24383276	-49282	92061	-49282	24417530	False
chr10	chr10'	57424015	57690287	57104688	57354262	+	#00FFFF	111181584	266272	249574	92061	28388	92061	358333	False
chr10	chr10'	57718675	58130390	57421677	57828072	+	#00FFFF	111181584	411715	406395	28388	21728	28388	440103	False
chr10	chr10'	58152118	60296999	57886246	59884178	+	#00FFFF	111181584	2144881	1997932	21728	74105	21728	2166609	False
chr10	chr10'	60371104	95869863	59896565	95407133	+	#00FFFF	111181584	35498759	35510568	74105	161868	74105	35572864	False
chr10	chr10'	96031731	96284101	95426643	95651010	+	#00FFFF	111181584	252370	224367	161868	61693	161868	414238	False
chr10	chr10'	96345794	97036280	95711702	96449490	+	#00FFFF	111181584	690486	737788	61693	-19387	61693	752179	False
chr10	chr10'	97016893	97394780	96460466	96798171	+	#00FFFF	111181584	377887	337705	-19387	11147	-19387	358500	False
chr10	chr10'	97405927	97493196	96846741	96963581	-	#00FFFF	111181584	87269	116840	11147	33107	11147	98416	False
chr10	chr10'	97526303	97803028	97021978	97246910	+	#00FFFF	111181584	276725	224932	33107	49047	33107	309832	False
chr10	chr10'	97852075	97986451	97331148	97473895	-	#00FFFF	111181584	134376	142747	49047	81264	49047	183423	False
chr10	chr10'	98067715	98379061	97491358	97815588	+	#00FFFF	111181584	311346	324230	81264	108553	81264	392610	False
chr10	chr10'	98487614	98571574	97843506	97899068	+	#00FFFF	111181584	83960	55562	108553	62428	108553	192513	False
chr10	chr10'	98634002	99496415	97903770	98722870	+	#00FFFF	111181584	862413	819100	62428	34641	62428	924841	False
chr10	chr10'	99531056	100204823	98806366	99453687	+	#00FFFF	111181584	673767	647321	34641	70221	34641	708408	False
chr10	chr10'	100275044	110767512	99555057	109939777	+	#00FFFF	111181584	10492468	10384720	70221	38581	70221	10562689	False
chr10	chr10'	110806093	111960806	110029439	111172786	+	#00FFFF	111181584	1154713	1143347	38581		38581	1193294	False
chr11	chr11'	170	1679229	0	1648669	+	#FA81C8	104468085	1679059	1648669		91761			
chr11	chr11'	1770990	10973469	1747592	10902293	+	#FA81C8	104468085	9202479	9154701	91761	68	91761	9294240	False
chr11	chr11'	10973537	90894843	10952816	90919726	+	#FA81C8	104468085	79921306	79966910	68	-746	68	79921374	False
chr11	chr11'	90894097	102376075	90919984	102388530	-	#FA81C8	104468085	11481978	11468546	-746	6	-746	11481232	False
chr11	chr11'	102376081	102921895	102388570	102920491	+	#FA81C8	104468085	545814	531921	6	59478	6	545820	False
chr11	chr11'	102981373	104589238	102920491	104468064	+	#FA81C8	104468085	1607865	1547573	59478		59478	1667343	False
chr12	chr12'	1	19822348	702494	20466641	+	#04685D	85782648	19822347	19764147		51284			
chr12	chr12'	19873632	52530946	20466641	53336377	+	#04685D	85782648	32657314	32869736	51284	-6223986	51284	32708598	False
chr12	chr12'	46306960	46361989	46866591	46947265	+	#04685D	85782648	55029	80674	-6223986	6233983	-6223986	-6168957	True
chr12	chr12'	52595972	85117956	53432828	85782558	+	#04685D	85782648	32521984	32349730	6233983		6233983	38755967	False
chr13	chr13'	19445	65876903	1	65651962	+	#BC052A	92415532	65857458	65651961		-46673			
chr13	chr13'	65830230	66192171	65688443	66066578	+	#BC052A	92415532	361941	378135	-46673	0	-46673	315268	False
chr13	chr13'	66192171	66257464	66081921	66144715	-	#BC052A	92415532	65293	62794	0	2503	0	65293	False
chr13	chr13'	66259967	66930768	66190004	66840570	+	#BC052A	92415532	670801	650566	2503	19019	2503	673304	False
chr13	chr13'	66949787	67208449	66899300	67174218	+	#BC052A	92415532	258662	274918	19019	-113741	19019	277681	False
chr13	chr13'	67094708	67907217	67204247	67926027	+	#BC052A	92415532	812509	721780	-113741	78785	-113741	698768	False
chr13	chr13'	67986002	68055323	67901278	67973902	+	#BC052A	92415532	69321	72624	78785	205144	78785	148106	False
chr13	chr13'	68260467	74394727	67991945	74106916	+	#BC052A	92415532	6134260	6114971	205144	504	205144	6339404	False
chr13	chr13'	74395231	76115346	74160423	75922113	+	#BC052A	92415532	1720115	1761690	504	23903	504	1720619	False
chr13	chr13'	76139249	89215525	75978509	89055161	+	#BC052A	92415532	13076276	13076652	23903	60251	23903	13100179	False
chr13	chr13'	89275776	89354946	89127957	89186451	-	#BC052A	92415532	79170	58494	60251	-64025	60251	139421	False
chr13	chr13'	89290921	89370091	89127957	89186451	+	#BC052A	92415532	79170	58494	-64025	60209	-64025	15145	False
chr13	chr13'	89430300	91328206	89251792	91168698	+	#BC052A	92415532	1897906	1916906	60209	2959	60209	1958115	False
chr13	chr13'	91331165	91986391	91244897	91878447	+	#BC052A	92415532	655226	633550	2959	25966	2959	658185	False
chr13	chr13'	92012357	92490415	91928672	92415532	+	#BC052A	92415532	478058	486860	25966		25966	504024	False
chr14	chr14	28185	769117	0	747792	+	#3600AC	89806966	740932	747792		68760			
