strand	qName	qStart	qEnd	tName	tStart	tEnd	tHitLen	qHitLen	synteny_block_id	type	connector_color	connector_zorder
-	HiC_scaffold_1	74118	2196247	HiC_scaffold_1	212261773	214022600	1760827	2122129	SB_1	normal	default	0
-	HiC_scaffold_1	2309342	2677832	HiC_scaffold_1	211907597	212234781	327184	368490	SB_2	normal	default	0
+	HiC_scaffold_1	2710478	2855367	HiC_scaffold_1	211760697	211907095	146398	144889	SB_3	inversion	default	0
-	HiC_scaffold_1	2861834	3188385	HiC_scaffold_1	211482676	211760433	277757	326551	SB_4	normal	default	0
-	HiC_scaffold_1	3250205	3435458	HiC_scaffold_1	211312460	211482180	169720	185253	SB_5	normal	default	0
-	HiC_scaffold_1	3492318	5547272	HiC_scaffold_1	209346618	211312164	1965546	2054954	SB_6	normal	default	0
-	HiC_scaffold_1	5580886	7356606	HiC_scaffold_1	207609804	209390300	1780496	1775720	SB_7	normal	default	0
-	HiC_scaffold_1	7425518	12666229	HiC_scaffold_1	202366825	207609791	5242966	5240711	SB_8	normal	default	0
-	HiC_scaffold_1	12735247	16000310	HiC_scaffold_1	199085934	202366825	3280891	3265063	SB_9	normal	default	0
+	HiC_scaffold_1	15791432	15881157	HiC_scaffold_16	12781111	12836313	55202	89725	SB_10	translocation	default	0
-	HiC_scaffold_1	16071798	45689021	HiC_scaffold_1	168987357	199085477	30098120	29617223	SB_11	normal	default	0
-	HiC_scaffold_1	45616563	65995209	HiC_scaffold_1	148358672	169000107	20641435	20378646	SB_13	normal	default	0
-	HiC_scaffold_1	65995209	82638437	HiC_scaffold_1	131387058	148234196	16847138	16643228	SB_17	normal	default	0
-	HiC_scaffold_1	82782698	83034059	HiC_scaffold_1	131140137	131365093	224956	251361	SB_19	normal	default	0
-	HiC_scaffold_1	83095554	116444459	HiC_scaffold_1	97717230	131090853	33373623	33348905	SB_20	normal	default	0
-	HiC_scaffold_1	116499930	120897903	HiC_scaffold_1	93306015	97716456	4410441	4397973	SB_21	normal	default	0
-	HiC_scaffold_1	120900809	138834842	HiC_scaffold_1	75331206	93226900	17895694	17934033	SB_23	normal	default	0
-	HiC_scaffold_1	138920292	140582013	HiC_scaffold_1	73649635	75330636	1681001	1661721	SB_24	normal	default	0
-	HiC_scaffold_1	140645196	141948059	HiC_scaffold_1	72320950	73649635	1328685	1302863	SB_25	normal	default	0
-	HiC_scaffold_1	142490674	147314796	HiC_scaffold_1	67458910	72318044	4859134	4824122	SB_26	normal	default	0
+	HiC_scaffold_1	147316903	147532313	HiC_scaffold_1	67238617	67458910	220293	215410	SB_27	inversion	default	0
-	HiC_scaffold_1	147535827	156642786	HiC_scaffold_1	58074388	67238617	9164229	9106959	SB_28	normal	default	0
-	HiC_scaffold_1	156740711	156896013	HiC_scaffold_1	57836502	57996134	159632	155302	SB_29	normal	default	0
-	HiC_scaffold_1	156913042	161171639	HiC_scaffold_1	53655745	57763291	4107546	4258597	SB_30	normal	default	0
-	HiC_scaffold_1	161252873	168276243	HiC_scaffold_1	46623557	53608050	6984493	7023370	SB_31	normal	default	0
+	HiC_scaffold_1	168279121	168355388	HiC_scaffold_1	46550281	46620218	69937	76267	SB_32	inversion	default	0
-	HiC_scaffold_1	168362504	173426630	HiC_scaffold_1	41471428	46550298	5078870	5064126	SB_33	normal	default	0
-	HiC_scaffold_1	173526049	196506565	HiC_scaffold_1	18557456	41471428	22913972	22980516	SB_34	normal	default	0
-	HiC_scaffold_1	196560638	201263661	HiC_scaffold_1	13918713	18493713	4575000	4703023	SB_35	normal	default	0
-	HiC_scaffold_1	201346256	202344137	HiC_scaffold_1	12965032	13879915	914883	997881	SB_36	normal	default	0
-	HiC_scaffold_1	202406389	204109609	HiC_scaffold_1	11345324	12942495	1597171	1703220	SB_37	normal	default	0
-	HiC_scaffold_1	204205375	204910596	HiC_scaffold_1	10601582	11293527	691945	705221	SB_38	normal	default	0
-	HiC_scaffold_1	205053364	205192374	HiC_scaffold_1	10347621	10464487	116866	139010	SB_39	normal	default	0
-	HiC_scaffold_1	205227883	205390126	HiC_scaffold_1	10262275	10382949	120674	162243	SB_40	normal	default	0
-	HiC_scaffold_1	205672402	205815074	HiC_scaffold_1	10025705	10138476	112771	142672	SB_42	normal	default	0
-	HiC_scaffold_1	205777742	205914378	HiC_scaffold_1	9873395	9970555	97160	136636	SB_43	normal	default	0
-	HiC_scaffold_1	206066651	206175395	HiC_scaffold_1	9773799	9854329	80530	108744	SB_44	normal	default	0
-	HiC_scaffold_1	206176607	209714973	HiC_scaffold_1	6211151	9659543	3448392	3538366	SB_45	normal	default	0
-	HiC_scaffold_1	209764979	214479867	HiC_scaffold_1	1782846	6213532	4430686	4714888	SB_46	normal	default	0
-	HiC_scaffold_1	214498271	216100366	HiC_scaffold_1	267599	1717553	1449954	1602095	SB_47	normal	default	0
-	HiC_scaffold_1	216224305	216441385	HiC_scaffold_1	807	220605	219798	217080	SB_48	normal	default	0
+	HiC_scaffold_10	45251	16565824	HiC_scaffold_10	9705	16384821	16375116	16520573	SB_49	normal	default	0
+	HiC_scaffold_10	16619941	19385744	HiC_scaffold_10	16384821	19010978	2626157	2765803	SB_50	normal	default	0
+	HiC_scaffold_10	19438291	25566633	HiC_scaffold_10	19069405	25148675	6079270	6128342	SB_51	normal	default	0
+	HiC_scaffold_10	25658535	29714241	HiC_scaffold_10	25148675	29274406	4125731	4055706	SB_52	normal	default	0
+	HiC_scaffold_10	29677425	29757773	HiC_scaffold_10	29594480	29689294	94814	80348	SB_53	normal	default	0
+	HiC_scaffold_10	29824037	39065557	HiC_scaffold_10	29697293	39085468	9388175	9241520	SB_54	normal	default	0
-	HiC_scaffold_10	38897802	39063161	HiC_scaffold_8	48043161	48189550	146389	165359	SB_55	inversion	default	0
+	HiC_scaffold_10	39125185	39437822	HiC_scaffold_10	39093149	39421798	328649	312637	SB_56	normal	default	0
+	HiC_scaffold_10	39327409	39547101	HiC_scaffold_8	48200695	48384387	183692	219692	SB_57	translocation	default	0
+	HiC_scaffold_10	39590734	57344005	HiC_scaffold_10	39438659	57335270	17896611	17753271	SB_58	normal	default	0
+	HiC_scaffold_10	57414023	58032988	HiC_scaffold_10	57370463	58004087	633624	618965	SB_59	normal	default	0
+	HiC_scaffold_10	58105051	58449814	HiC_scaffold_10	58031714	58438685	406971	344763	SB_60	normal	default	0
+	HiC_scaffold_10	58503944	58867875	HiC_scaffold_10	58439218	58810235	371017	363931	SB_61	normal	default	0
+	HiC_scaffold_10	58918188	60317803	HiC_scaffold_10	58829018	60275717	1446699	1399615	SB_62	normal	default	0
+	HiC_scaffold_10	60311877	60593991	HiC_scaffold_10	60221726	60418148	196422	282114	SB_63	normal	default	0
+	HiC_scaffold_10	60645280	95870779	HiC_scaffold_10	60482281	95888279	35405998	35225499	SB_64	normal	default	0
+	HiC_scaffold_10	95978216	96248392	HiC_scaffold_10	95912196	96197807	285611	270176	SB_65	normal	default	0
