CHROM	WINDOW	mustela_putorius.10x.barcoded
HiC_scaffold_1	0	25
HiC_scaffold_1	1	20
HiC_scaffold_1	2	35
HiC_scaffold_1	3	10
HiC_scaffold_1	4	28
HiC_scaffold_1	5	39
HiC_scaffold_1	6	19
HiC_scaffold_1	7	16
HiC_scaffold_1	8	17
HiC_scaffold_1	9	9
HiC_scaffold_1	10	9
HiC_scaffold_1	11	26
HiC_scaffold_1	12	19
HiC_scaffold_1	13	26
HiC_scaffold_1	14	121
HiC_scaffold_1	15	120
HiC_scaffold_1	16	22
HiC_scaffold_1	17	16
HiC_scaffold_1	18	15
HiC_scaffold_1	19	15
HiC_scaffold_1	20	12
HiC_scaffold_1	21	17
HiC_scaffold_1	22	26
HiC_scaffold_1	23	7
HiC_scaffold_1	24	10
HiC_scaffold_1	25	30
HiC_scaffold_1	26	9
HiC_scaffold_1	27	12
HiC_scaffold_1	28	20
HiC_scaffold_1	29	19
HiC_scaffold_1	30	287
HiC_scaffold_1	31	507
HiC_scaffold_1	32	113
HiC_scaffold_1	33	103
HiC_scaffold_1	34	36
HiC_scaffold_1	35	474
HiC_scaffold_1	36	173
HiC_scaffold_1	37	86
HiC_scaffold_1	38	16
HiC_scaffold_1	39	194
HiC_scaffold_1	40	8
HiC_scaffold_1	41	16
HiC_scaffold_1	42	12
HiC_scaffold_1	43	29
HiC_scaffold_1	44	66
HiC_scaffold_1	45	14
HiC_scaffold_1	46	12
HiC_scaffold_1	47	19
HiC_scaffold_1	48	13
HiC_scaffold_1	49	71
HiC_scaffold_1	50	108
HiC_scaffold_1	51	162
HiC_scaffold_1	52	29
HiC_scaffold_1	53	18
HiC_scaffold_1	54	57
HiC_scaffold_1	55	21
HiC_scaffold_1	56	14
HiC_scaffold_1	57	2
HiC_scaffold_1	58	9
HiC_scaffold_1	59	31
HiC_scaffold_1	60	345
HiC_scaffold_1	61	60
HiC_scaffold_1	62	52
HiC_scaffold_1	63	21
HiC_scaffold_1	64	23
HiC_scaffold_1	65	15
HiC_scaffold_1	66	19
HiC_scaffold_1	67	43
HiC_scaffold_1	68	50
HiC_scaffold_1	69	129
HiC_scaffold_1	70	105
HiC_scaffold_1	71	97
HiC_scaffold_1	72	128
HiC_scaffold_1	73	35
HiC_scaffold_1	74	21
HiC_scaffold_1	75	65
HiC_scaffold_1	76	36
HiC_scaffold_1	77	56
HiC_scaffold_1	78	16
HiC_scaffold_1	79	63
HiC_scaffold_1	80	28
HiC_scaffold_1	81	137
HiC_scaffold_1	82	24
HiC_scaffold_1	83	276
HiC_scaffold_1	84	77
HiC_scaffold_1	85	78
HiC_scaffold_1	86	281
HiC_scaffold_1	87	13
HiC_scaffold_1	88	211
HiC_scaffold_1	89	7
HiC_scaffold_1	90	21
HiC_scaffold_1	91	8
HiC_scaffold_1	92	2
HiC_scaffold_1	93	6
HiC_scaffold_1	94	12
HiC_scaffold_1	95	9
HiC_scaffold_1	96	1
HiC_scaffold_1	97	10
HiC_scaffold_1	98	8
HiC_scaffold_1	99	7
HiC_scaffold_1	100	19
HiC_scaffold_1	101	10
HiC_scaffold_1	102	18
HiC_scaffold_1	103	9
HiC_scaffold_1	104	6
HiC_scaffold_1	105	23
HiC_scaffold_1	106	84
HiC_scaffold_1	107	25
HiC_scaffold_1	108	27
HiC_scaffold_1	109	16
HiC_scaffold_1	110	6
HiC_scaffold_1	111	6
HiC_scaffold_1	112	10
HiC_scaffold_1	113	5
HiC_scaffold_1	114	52
HiC_scaffold_1	115	11
HiC_scaffold_1	116	18
HiC_scaffold_1	117	24
HiC_scaffold_1	118	32
HiC_scaffold_1	119	190
HiC_scaffold_1	120	14
HiC_scaffold_1	121	29
HiC_scaffold_1	122	11
HiC_scaffold_1	123	8
HiC_scaffold_1	124	9
HiC_scaffold_1	125	13
HiC_scaffold_1	126	41
HiC_scaffold_1	127	16
HiC_scaffold_1	128	16
HiC_scaffold_1	129	16
HiC_scaffold_1	130	13
HiC_scaffold_1	131	11
HiC_scaffold_1	132	17
HiC_scaffold_1	133	24
HiC_scaffold_1	134	19
HiC_scaffold_1	135	17
HiC_scaffold_1	136	21
HiC_scaffold_1	137	93
HiC_scaffold_1	138	10
HiC_scaffold_1	139	30
HiC_scaffold_1	140	12
HiC_scaffold_1	141	24
HiC_scaffold_1	142	29
HiC_scaffold_1	143	16
HiC_scaffold_1	144	15
HiC_scaffold_1	145	27
HiC_scaffold_1	146	20
HiC_scaffold_1	147	12
HiC_scaffold_1	148	27
HiC_scaffold_1	149	9
HiC_scaffold_1	150	10
HiC_scaffold_1	151	12
HiC_scaffold_1	152	8
HiC_scaffold_1	153	345
HiC_scaffold_1	154	11
HiC_scaffold_1	155	19
HiC_scaffold_1	156	14
HiC_scaffold_1	157	11
HiC_scaffold_1	158	17
HiC_scaffold_1	159	21
HiC_scaffold_1	160	28
HiC_scaffold_1	161	4
HiC_scaffold_1	162	13
HiC_scaffold_1	163	22
HiC_scaffold_1	164	6
HiC_scaffold_1	165	9
HiC_scaffold_1	166	9
HiC_scaffold_1	167	8
HiC_scaffold_1	168	12
HiC_scaffold_1	169	21
HiC_scaffold_1	170	13
HiC_scaffold_1	171	26
HiC_scaffold_1	172	8
HiC_scaffold_1	173	16
HiC_scaffold_1	174	16
HiC_scaffold_1	175	12
HiC_scaffold_1	176	19
HiC_scaffold_1	177	23
HiC_scaffold_1	178	10
HiC_scaffold_1	179	7
HiC_scaffold_1	180	195
HiC_scaffold_1	181	378
HiC_scaffold_1	182	26
HiC_scaffold_1	183	25
HiC_scaffold_1	184	42
HiC_scaffold_1	185	121
HiC_scaffold_1	186	23
HiC_scaffold_1	187	24
HiC_scaffold_1	188	17
HiC_scaffold_1	189	30
HiC_scaffold_1	190	128
HiC_scaffold_1	191	33
HiC_scaffold_1	192	99
HiC_scaffold_1	193	45
HiC_scaffold_1	194	41
HiC_scaffold_1	195	97
HiC_scaffold_1	196	348
HiC_scaffold_1	197	36
HiC_scaffold_1	198	107
HiC_scaffold_1	199	79
HiC_scaffold_1	200	100
HiC_scaffold_1	201	222
HiC_scaffold_1	202	170
HiC_scaffold_1	203	110
HiC_scaffold_1	204	58
HiC_scaffold_1	205	38
HiC_scaffold_1	206	40
HiC_scaffold_1	207	23
HiC_scaffold_1	208	14
HiC_scaffold_1	209	19
HiC_scaffold_1	210	191
HiC_scaffold_1	211	457
HiC_scaffold_1	212	68
HiC_scaffold_1	213	32
HiC_scaffold_1	214	20
HiC_scaffold_1	215	35
HiC_scaffold_1	216	12
HiC_scaffold_1	217	23
HiC_scaffold_1	218	28
HiC_scaffold_1	219	9
HiC_scaffold_1	220	19
HiC_scaffold_1	221	23
HiC_scaffold_1	222	399
HiC_scaffold_1	223	37
HiC_scaffold_1	224	390
HiC_scaffold_1	225	344
HiC_scaffold_1	226	417
HiC_scaffold_1	227	33
HiC_scaffold_1	228	14
HiC_scaffold_1	229	177
HiC_scaffold_1	230	34
HiC_scaffold_1	231	18
HiC_scaffold_1	232	196
HiC_scaffold_1	233	87
HiC_scaffold_1	234	26
HiC_scaffold_1	235	21
HiC_scaffold_1	236	15
HiC_scaffold_1	237	10
HiC_scaffold_1	238	21
HiC_scaffold_1	239	25
HiC_scaffold_1	240	252
HiC_scaffold_1	241	44
HiC_scaffold_1	242	9
HiC_scaffold_1	243	149
HiC_scaffold_1	244	323
HiC_scaffold_1	245	340
HiC_scaffold_1	246	182
HiC_scaffold_1	247	88
HiC_scaffold_1	248	23
HiC_scaffold_1	249	10
HiC_scaffold_1	250	7
HiC_scaffold_1	251	10
HiC_scaffold_1	252	9
HiC_scaffold_1	253	11
HiC_scaffold_1	254	22
HiC_scaffold_1	255	13
HiC_scaffold_1	256	14
HiC_scaffold_1	257	16
HiC_scaffold_1	258	18
HiC_scaffold_1	259	15
HiC_scaffold_1	260	316
HiC_scaffold_1	261	16
HiC_scaffold_1	262	27
HiC_scaffold_1	263	19
HiC_scaffold_1	264	20
HiC_scaffold_1	265	10
HiC_scaffold_1	266	75
HiC_scaffold_1	267	59
HiC_scaffold_1	268	19
HiC_scaffold_1	269	20
HiC_scaffold_1	270	14
HiC_scaffold_1	271	10
HiC_scaffold_1	272	16
HiC_scaffold_1	273	15
HiC_scaffold_1	274	13
HiC_scaffold_1	275	12
HiC_scaffold_1	276	4
HiC_scaffold_1	277	7
HiC_scaffold_1	278	7
HiC_scaffold_1	279	6
HiC_scaffold_1	280	18
HiC_scaffold_1	281	16
HiC_scaffold_1	282	28
HiC_scaffold_1	283	24
HiC_scaffold_1	284	21
HiC_scaffold_1	285	19
HiC_scaffold_1	286	8
HiC_scaffold_1	287	12
HiC_scaffold_1	288	18
HiC_scaffold_1	289	14
HiC_scaffold_1	290	2
HiC_scaffold_1	291	19
HiC_scaffold_1	292	15
HiC_scaffold_1	293	16
HiC_scaffold_1	294	14
HiC_scaffold_1	295	7
HiC_scaffold_1	296	3
HiC_scaffold_1	297	11
HiC_scaffold_1	298	16
HiC_scaffold_1	299	474
HiC_scaffold_1	300	36
HiC_scaffold_1	301	439
HiC_scaffold_1	302	327
HiC_scaffold_1	303	173
HiC_scaffold_1	304	130
HiC_scaffold_1	305	150
HiC_scaffold_1	306	11
HiC_scaffold_1	307	234
HiC_scaffold_1	308	443
HiC_scaffold_1	309	326
HiC_scaffold_1	310	288
HiC_scaffold_1	311	209
HiC_scaffold_1	312	226
HiC_scaffold_1	313	77
HiC_scaffold_1	314	23
HiC_scaffold_1	315	13
HiC_scaffold_1	316	11
HiC_scaffold_1	317	11
HiC_scaffold_1	318	21
HiC_scaffold_1	319	28
HiC_scaffold_1	320	15
HiC_scaffold_1	321	13
HiC_scaffold_1	322	26
HiC_scaffold_1	323	15
HiC_scaffold_1	324	11
HiC_scaffold_1	325	8
HiC_scaffold_1	326	22
HiC_scaffold_1	327	15
HiC_scaffold_1	328	13
HiC_scaffold_1	329	17
HiC_scaffold_1	330	7
HiC_scaffold_1	331	29
HiC_scaffold_1	332	17
HiC_scaffold_1	333	21
HiC_scaffold_1	334	20
HiC_scaffold_1	335	15
HiC_scaffold_1	336	13
HiC_scaffold_1	337	15
HiC_scaffold_1	338	8
HiC_scaffold_1	339	21
HiC_scaffold_1	340	23
HiC_scaffold_1	341	187
HiC_scaffold_1	342	18
HiC_scaffold_1	343	9
HiC_scaffold_1	344	35
HiC_scaffold_1	345	25
HiC_scaffold_1	346	254
HiC_scaffold_1	347	24
HiC_scaffold_1	348	15
HiC_scaffold_1	349	133
HiC_scaffold_1	350	17
HiC_scaffold_1	351	13
HiC_scaffold_1	352	9
