strand	qName	qStart	qEnd	tName	tStart	tEnd	tHitLen	qHitLen	synteny_block_id	type	connector_color	connector_zorder
+	HiC_scaffold_1	12793	77227	HiC_scaffold_1	3	55917	55914	64434	SB_1	normal	default	0
+	HiC_scaffold_1	176316	6478205	HiC_scaffold_1	55917	6297868	6241951	6301889	SB_2	normal	default	0
+	HiC_scaffold_1	6556707	6763241	HiC_scaffold_1	6297869	6504773	206904	206534	SB_3	normal	default	0
+	HiC_scaffold_1	6797694	10253540	HiC_scaffold_1	6559829	10022159	3462330	3455846	SB_4	normal	default	0
+	HiC_scaffold_1	10287791	10485390	HiC_scaffold_1	10190025	10369254	179229	197599	SB_5	normal	default	0
+	HiC_scaffold_1	10547976	10730644	HiC_scaffold_1	10400358	10552495	152137	182668	SB_6	normal	default	0
+	HiC_scaffold_1	10762172	10902867	HiC_scaffold_1	10664080	10802768	138688	140695	SB_7	normal	default	0
+	HiC_scaffold_1	10902867	11339107	HiC_scaffold_1	10884135	11338616	454481	436240	SB_8	normal	default	0
+	HiC_scaffold_1	11537772	12259898	HiC_scaffold_1	11468460	12190843	722383	722126	SB_9	normal	default	0
+	HiC_scaffold_1	12419465	20148247	HiC_scaffold_1	12239725	19942246	7702521	7728782	SB_10	normal	default	0
+	HiC_scaffold_1	20195434	55363842	HiC_scaffold_1	19997667	55239101	35241434	35168408	SB_11	normal	default	0
+	HiC_scaffold_1	55486236	118011965	HiC_scaffold_1	55239101	117895391	62656290	62525729	SB_12	normal	default	0
-	HiC_scaffold_1	118011965	118070403	HiC_scaffold_1	117896151	117964686	68535	58438	SB_13	inversion	default	0
+	HiC_scaffold_1	118070403	133947801	HiC_scaffold_1	118004756	133875553	15870797	15877398	SB_14	normal	default	0
-	HiC_scaffold_1	133942809	133995048	HiC_scaffold_1	133871236	133939822	68586	52239	SB_15	inversion	default	0
+	HiC_scaffold_1	133989239	171124081	HiC_scaffold_1	133934017	171133891	37199874	37134842	SB_16	normal	default	0
+	HiC_scaffold_1	171214192	175972829	HiC_scaffold_1	171224865	175906690	4681825	4758637	SB_17	normal	default	0
+	HiC_scaffold_1	176036389	191442217	HiC_scaffold_1	175906690	191298029	15391339	15405828	SB_18	normal	default	0
+	HiC_scaffold_1	191456736	214767709	HiC_scaffold_1	191423601	214768832	23345231	23310973	SB_19	normal	default	0
+	HiC_scaffold_1	214767709	216772412	HiC_scaffold_1	214837806	216853075	2015269	2004703	SB_20	normal	default	0
