strand	qName	qStart	qEnd	tName	tStart	tEnd	tHitLen	qHitLen	synteny_block_id	type	connector_color	connector_zorder
+	chr1	57	35953241	chr1'	48905	35713543	35664638	35953184	SB_322	normal	default	0
-	chr1	4663349	4759859	chr12	12547132	12646415	99283	96510	SB_323	translocation	default	0
+	chr1	36057323	40134893	chr1'	35713547	39778031	4064484	4077570	SB_324	normal	default	0
+	chr1	40142839	59833430	chr1'	39855892	59957062	20101170	19690591	SB_325	normal	default	0
-	chr1	59836594	60013782	chr1'	59957062	60132282	175220	177188	SB_326	inversion	default	0
-	chr1	60019051	60251561	chr1'	60134439	60369363	234924	232510	SB_327	inversion	default	0
+	chr1	60254621	106495799	chr1'	60369363	107561138	47191775	46241178	SB_328	normal	default	0
+	chr1	106547871	117431175	chr1'	107657797	118720949	11063152	10883304	SB_329	normal	default	0
+	chr1	117570385	119425720	chr1'	118720949	120585879	1864930	1855335	SB_330	normal	default	0
+	chr1	119563617	167446182	chr1'	120596485	168721398	48124913	47882565	SB_331	normal	default	0
+	chr1	167496188	190678538	chr1'	168722115	191937529	23215414	23182350	SB_332	normal	default	0
-	chr1	190672362	190728013	chr1'	191961056	192030920	69864	55651	SB_333	inversion	default	0
+	chr1	190783059	192823180	chr1'	192063049	194115936	2052887	2040121	SB_334	normal	default	0
+	chr1	192823185	201432627	chr1'	194273419	202706842	8433423	8609442	SB_335	normal	default	0
-	chr1	201433305	201493822	chr1'	202706842	202763249	56407	60517	SB_336	inversion	default	0
+	chr1	201495682	202694540	chr1'	202763249	203945475	1182226	1198858	SB_337	normal	default	0
+	chr10	45251	16565824	chr10	9705	16384821	16375116	16520573	SB_49	normal	default	0
+	chr10	16619941	19385744	chr10	16384821	19010978	2626157	2765803	SB_50	normal	default	0
+	chr10	19438291	25566633	chr10	19069405	25148675	6079270	6128342	SB_51	normal	default	0
+	chr10	25658535	29714241	chr10	25148675	29274406	4125731	4055706	SB_52	normal	default	0
+	chr10	29677425	29757773	chr10	29594480	29689294	94814	80348	SB_53	normal	default	0
+	chr10	29824037	39065557	chr10	29697293	39085468	9388175	9241520	SB_54	normal	default	0
-	chr10	38897802	39063161	chr8	48043161	48189550	146389	165359	SB_55	inversion	default	0
+	chr10	39125185	39437822	chr10	39093149	39421798	328649	312637	SB_56	normal	default	0
+	chr10	39327409	39547101	chr8	48200695	48384387	183692	219692	SB_57	translocation	default	0
+	chr10	39590734	57344005	chr10	39438659	57335270	17896611	17753271	SB_58	normal	default	0
+	chr10	57414023	58032988	chr10	57370463	58004087	633624	618965	SB_59	normal	default	0
