strand	qName	qStart	qEnd	tName	tStart	tEnd	tHitLen	qHitLen	synteny_block_id	type	connector_color	connector_zorder
+	chr1'	3719	121030	chr1	0	150862	150862	117311	SB_155	normal	default	0
+	chr1'	171390	240244	chr1	197498	254296	56798	68854	SB_154	normal	default	0
+	chr1'	251182	4558312	chr1	366067	4672313	4306246	4307130	SB_153	normal	default	0
+	chr1'	4610657	32483730	chr1	4722311	32709574	27987263	27873073	SB_152	normal	default	0
+	chr1'	32594603	172794762	chr1	32709574	173727441	141017867	140200159	SB_151	normal	default	0
-	chr1'	172790557	172850455	chr1	173716718	173783411	66693	59898	SB_150	inversion	default	0
+	chr1'	172846318	185013579	chr1	173779204	186054762	12275558	12167261	SB_149	normal	default	0
-	chr1'	185013591	185223713	chr1	186055278	186265937	210659	210122	SB_148	inversion	default	0
+	chr1'	185223870	185895769	chr1	186266474	186948126	681652	671899	SB_147	normal	default	0
+	chr1'	186098776	186616796	chr1	186954643	187471590	516947	518020	SB_146	normal	default	0
+	chr1'	186676208	187419989	chr1	187526623	188295630	769007	743781	SB_145	normal	default	0
-	chr1'	187419998	187799845	chr1	188296184	188677079	380895	379847	SB_144	inversion	default	0
+	chr1'	187799866	187861197	chr1	188677677	188738667	60990	61331	SB_143	normal	default	0
-	chr1'	187872152	187943810	chr1	188757168	188830265	73097	71658	SB_142	inversion	default	0
-	chr1'	188006647	188218308	chr1	189134835	189348151	213316	211661	SB_141	inversion	default	0
+	chr1'	188218308	188326581	chr1	188831146	188940171	109025	108273	SB_140	normal	default	0
+	chr1'	188377775	188497869	chr1	188940677	189061807	121130	120094	SB_139	normal	default	0
+	chr1'	188529554	202286562	chr1	189386549	203148925	13762376	13757008	SB_138	normal	default	0
+	chr10'	1664	19303701	chr10'	0	19418078	19418078	19302037	SB_35	normal	default	0
+	chr10'	19290066	32720868	chr10'	19467176	32892667	13425491	13430802	SB_34	normal	default	0
+	chr10'	32720868	57104188	chr10'	32842936	57429181	24586245	24383320	SB_33	normal	default	0
+	chr10'	57105143	57302391	chr10'	57502645	57709907	207262	197248	SB_32	normal	default	0
-	chr10'	57302391	57454309	chr10'	57710479	57854882	144403	151918	SB_31	inversion	default	0
+	chr10'	57454334	57828057	chr10'	57854776	58274578	419802	373723	SB_30	normal	default	0
+	chr10'	57886246	59884178	chr10'	58288392	60227616	1939224	1997932	SB_29	normal	default	0
+	chr10'	59885237	95406232	chr10'	60372616	95994389	35621773	35520995	SB_28	normal	default	0
+	chr10'	95430474	96801895	chr10'	96079983	97452117	1372134	1371421	SB_27	normal	default	0
+	chr10'	96845305	97246905	chr10'	97663696	98139165	475469	401600	SB_25	normal	default	0
+	chr10'	97331147	97815588	chr10'	98198599	98745752	547153	484441	SB_24	normal	default	0
+	chr10'	97952138	98719777	chr10'	98921025	99693638	772613	767639	SB_23	normal	default	0
+	chr10'	98806366	99453687	chr10'	99711377	100401424	690047	647321	SB_22	normal	default	0
+	chr10'	99528723	111181512	chr10'	100402378	111951331	11548953	11652789	SB_21	normal	default	0
+	chr11'	3033	1648668	chr11'	46	1610216	1610170	1645635	SB_43	normal	default	0
+	chr11'	1723727	10902293	chr11'	1644123	10809024	9164901	9178566	SB_42	normal	default	0
+	chr11'	10952816	35559107	chr11'	10809092	35503583	24694491	24606291	SB_41	normal	default	0
-	chr11'	35559107	35613106	chr11'	35542230	35605607	63377	53999	SB_40	inversion	default	0
+	chr11'	35613106	90919460	chr11'	35605632	90924750	55319118	55306354	SB_39	normal	default	0
-	chr11'	90919984	102388530	chr11'	90924270	102355249	11430979	11468546	SB_38	inversion	red	20
+	chr11'	102388570	102920491	chr11'	102355255	102900563	545308	531921	SB_37	normal	default	0
+	chr11'	102920491	104468064	chr11'	102960257	104497442	1537185	1547573	SB_36	normal	default	0
+	chr12'	115491	365283	chr11'	104706065	104975027	268962	249792	SB_75	translocation	default	0
-	chr12'	616761	7205853	chr12'	586	6567831	6567245	6589092	SB_74	inversion	red	20
+	chr12'	7205853	20466641	chr12'	6603594	19855183	13251589	13260788	SB_73	normal	default	0
+	chr12'	20466641	45210621	chr12'	19906800	44644353	24737553	24743980	SB_72	normal	default	0
+	chr12'	45290433	85781065	chr12'	44644353	85133116	40488763	40490632	SB_71	normal	default	0
+	chr13'	1	962132	chr13	18884	932340	913456	962131	SB_60	normal	default	0
+	chr13'	1073352	2724712	chr13	932340	2542797	1610457	1651360	SB_59	normal	default	0
+	chr13'	2868766	61727629	chr13	2542797	61632964	59090167	58858863	SB_58	normal	default	0
+	chr13'	61779531	66066587	chr13	61632964	65961398	4328434	4287056	SB_56	normal	default	0
-	chr13'	66081914	66149338	chr13	65961781	66032805	71024	67424	SB_55	inversion	default	0
+	chr13'	66169033	66463854	chr13	66037713	66338065	300352	294821	SB_54	normal	default	0
+	chr13'	66906480	67110362	chr13	66645567	66858239	212672	203882	SB_53	normal	default	0
+	chr13'	67123692	67179353	chr13	66939631	67007647	68016	55661	SB_52	normal	default	0
+	chr13'	67206506	67321460	chr13	66799983	66896385	96402	114954	SB_51	normal	default	0
+	chr13'	67250586	67390151	chr13	67087456	67189643	102187	139565	SB_50	normal	default	0
+	chr13'	67406523	67724327	chr13	67266000	67584942	318942	317804	SB_49	normal	default	0
+	chr13'	67776874	67973902	chr13	67584944	67793575	208631	197028	SB_48	normal	default	0
+	chr13'	67997740	89065333	chr13	67891512	88940849	21049337	21067593	SB_47	normal	default	0
+	chr13'	89251643	91163917	chr13	88995546	90888575	1893029	1912274	SB_46	normal	default	0
+	chr13'	91244897	91878294	chr13	91107302	91734088	626786	633397	SB_45	normal	default	0
+	chr13'	91948475	92415532	chr13	91765066	92213919	448853	467057	SB_44	normal	default	0
+	chr14	0	2904469	chr14'	382	2828673	2828291	2904469	SB_61	normal	default	0
+	chr14	2904469	3366117	chr14'	2897019	3348936	451917	461648	SB_62	normal	default	0
+	chr14	3438699	11856418	chr14'	3431179	11852449	8421270	8417719	SB_63	normal	default	0
+	chr14	11873681	36311887	chr14'	11904674	36489037	24584363	24438206	SB_64	normal	default	0
+	chr14	36370364	67777597	chr14'	36489549	67996758	31507209	31407233	SB_65	normal	default	0
-	chr14	68053363	68114653	chr14'	68041460	68094752	53292	61290	SB_66	inversion	default	0
-	chr14	68120284	68213353	chr14'	68118553	68215794	97241	93069	SB_67	inversion	default	0
-	chr14	68284429	68448833	chr14'	68316723	68481344	164621	164404	SB_68	inversion	default	0
+	chr14	68464990	70045936	chr14'	68522558	70092355	1569797	1580946	SB_69	normal	default	0
+	chr14	70092969	89806965	chr14'	70182624	89861986	19679362	19713996	SB_70	normal	default	0
+	chr15	547	7459521	chr15	0	7515541	7515541	7458974	SB_83	normal	default	0
+	chr15	7465694	11703595	chr15	7594163	11800358	4206195	4237901	SB_84	normal	default	0
+	chr15	11703640	40109211	chr15	11876017	40294652	28418635	28405571	SB_85	normal	default	0
+	chr15	40173528	43194212	chr15	40317245	43349476	3032231	3020684	SB_87	normal	default	0
+	chr15	43234477	52728138	chr15	43406931	52914925	9507994	9493661	SB_88	normal	default	0
+	chr15	52735015	59263546	chr15	53057879	59487806	6429927	6528531	SB_89	normal	default	0
+	chr16'	345	13180756	chr16'	0	13204322	13204322	13180411	SB_82	normal	default	0
+	chr16'	13197303	28113433	chr16'	13260884	28226341	14965457	14916130	SB_81	normal	default	0
+	chr16'	28114206	30404262	chr16'	28295363	30577644	2282281	2290056	SB_80	normal	default	0
+	chr16'	30504947	30678319	chr16'	30579835	30749571	169736	173372	SB_79	normal	default	0
-	chr16'	30671097	30869366	chr16'	30812326	30991128	178802	198269	SB_78	inversion	default	0
+	chr16'	30869367	43439868	chr16'	30991128	43654325	12663197	12570501	SB_77	normal	default	0
+	chr16'	43606317	67351491	chr16'	43818860	67539270	23720410	23745174	SB_76	normal	default	0
+	chr17	42976	676542	chr17'	5	633157	633152	633566	SB_90	normal	default	0
+	chr17	676542	2730653	chr17'	753836	2674790	1920954	2054111	SB_91	normal	default	0
+	chr17	2979522	3718848	chr17'	2853980	3576709	722729	739326	SB_92	normal	default	0
-	chr17	4005199	4073717	chr17'	3732716	3799311	66595	68518	SB_93	inversion	default	0
+	chr17	4114491	7491727	chr17'	3950692	7222489	3271797	3377236	SB_94	normal	default	0
+	chr17	7545395	20539891	chr17'	7222621	20222484	12999863	12994496	SB_95	normal	default	0
+	chr17	20753565	20835209	chr17'	20412555	20485822	73267	81644	SB_96	normal	default	0
+	chr17	20885864	54627838	chr17'	20514199	54394146	33879947	33741974	SB_97	normal	default	0
+	chr17	54627838	57107021	chr17'	54520133	57020389	2500256	2479183	SB_98	normal	default	0
+	chr17	57107021	57462644	chr17'	57238375	57613277	374902	355623	SB_99	normal	default	0
+	chr18'	0	9078573	chr18	3190	9170687	9167497	9078573	SB_105	normal	default	0
