scaffold	start	end	query	query_start	query_end	strand	color
chr1	107449	169819	chr1'	171390	240244	+	#F8C66F
chr1	280384	59833430	chr1'	251182	59661868	+	#F8C66F
chr1	59836594	60013782	chr1'	59661868	59837727	-	#F8C66F
chr1	60017695	60251561	chr1'	59839877	60074518	-	#F8C66F
chr1	60253888	106495799	chr1'	60074528	106429086	+	#F8C66F
chr1	106546972	190617251	chr1'	106534515	190265651	+	#F8C66F
chr1	190783930	192823180	chr1'	190265651	192295508	+	#F8C66F
chr1	192823185	201432642	chr1'	192441333	201044173	+	#F8C66F
chr1	201432642	201493807	chr1'	201044173	201102193	-	#F8C66F
chr1	201494509	202683282	chr1'	201102193	202286562	+	#F8C66F
chr10	2660	19322888	chr10'	34	19227291	+	#00FFFF
chr10	19271691	19353641	chr10'	19232036	19303701	+	#00FFFF
chr10	19406137	29963800	chr10'	19303701	29895509	+	#00FFFF
chr10	30047054	32914424	chr10'	29895513	32720868	+	#00FFFF
chr10	32865142	57331954	chr10'	32720868	57104144	+	#00FFFF
chr10	57424015	57690287	chr10'	57104688	57354262	+	#00FFFF
chr10	57718675	58130390	chr10'	57421677	57828072	+	#00FFFF
chr10	58152118	60296999	chr10'	57886246	59884178	+	#00FFFF
chr10	60371104	95869863	chr10'	59896565	95407133	+	#00FFFF
chr10	96031731	96284101	chr10'	95426643	95651010	+	#00FFFF
chr10	96345794	97036280	chr10'	95711702	96449490	+	#00FFFF
chr10	97016893	97394780	chr10'	96460466	96798171	+	#00FFFF
chr10	97405927	97493196	chr10'	96846741	96963581	-	#00FFFF
chr10	97526303	97803028	chr10'	97021978	97246910	+	#00FFFF
chr10	97852075	97986451	chr10'	97331148	97473895	-	#00FFFF
chr10	98067715	98379061	chr10'	97491358	97815588	+	#00FFFF
chr10	98487614	98571574	chr10'	97843506	97899068	+	#00FFFF
chr10	98634002	99496415	chr10'	97903770	98722870	+	#00FFFF
chr10	99531056	100204823	chr10'	98806366	99453687	+	#00FFFF
chr10	100275044	110767512	chr10'	99555057	109939777	+	#00FFFF
chr10	110806093	111960806	chr10'	110029439	111172786	+	#00FFFF
chr11	170	1679229	chr11'	0	1648669	+	#FA81C8
chr11	1770990	10973469	chr11'	1747592	10902293	+	#FA81C8
chr11	10973537	90894843	chr11'	10952816	90919726	+	#FA81C8
chr11	90894097	102376075	chr11'	90919984	102388530	-	#FA81C8
chr11	102376081	102921895	chr11'	102388570	102920491	+	#FA81C8
chr11	102981373	104589238	chr11'	102920491	104468064	+	#FA81C8
chr11	104910734	105042642	chr12'	220667	462529	-	#04685D
chr12	1	19822348	chr12'	702494	20466641	+	#04685D
chr12	19873632	52530946	chr12'	20466641	53336377	+	#04685D
chr12	46217453	46293626	chr12'	47093133	47172746	+	#04685D
chr12	46306960	46361989	chr12'	46866591	46947265	+	#04685D
chr12	52595972	85117956	chr12'	53432828	85782558	+	#04685D
chr13	19445	65876903	chr13'	1	65651962	+	#BC052A
chr13	65830230	66192171	chr13'	65688443	66066578	+	#BC052A
chr13	66192171	66257464	chr13'	66081921	66144715	-	#BC052A
chr13	66259967	66930768	chr13'	66190004	66840570	+	#BC052A
chr13	66949787	67208449	chr13'	66899300	67174218	+	#BC052A
chr13	67094708	67907217	chr13'	67204247	67926027	+	#BC052A
chr13	67399726	67456021	chr13'	67801965	67858777	+	#BC052A
chr13	67986002	68055323	chr13'	67901278	67973902	+	#BC052A
chr13	68260467	74394727	chr13'	67991945	74106916	+	#BC052A
chr13	74395231	76115346	chr13'	74160423	75922113	+	#BC052A
chr13	76139249	89215525	chr13'	75978509	89055161	+	#BC052A
chr13	89275776	89354946	chr13'	89127957	89186451	-	#BC052A
chr13	89290921	89370091	chr13'	89127957	89186451	+	#BC052A
chr13	89430300	91328206	chr13'	89251792	91168698	+	#BC052A
chr13	91331165	91986391	chr13'	91244897	91878447	+	#BC052A
